"Region, subregion, country or area *",2020
WORLD, 7 794 799
China, 1 439 324
India, 1 380 004
United States of America,  331 003
Indonesia,  273 524
Pakistan,  220 892
Brazil,  212 559
Nigeria,  206 140
Bangladesh,  164 689
Russian Federation,  145 934
Mexico,  128 933
Japan,  126 476
Ethiopia,  114 964
Philippines,  109 581
Egypt,  102 334
Viet Nam,  97 339
Democratic Republic of the Congo,  89 561
Turkey,  84 339
Iran (Islamic Republic of),  83 993
Germany,  83 784
Thailand,  69 800
United Kingdom,  67 886
France,  65 274
Italy,  60 462
United Republic of Tanzania,  59 734
South Africa,  59 309
Myanmar,  54 410
Kenya,  53 771
Republic of Korea,  51 269
Colombia,  50 883
Spain,  46 755
Uganda,  45 741
Argentina,  45 196
Algeria,  43 851
Sudan,  43 849
Ukraine,  43 734
Iraq,  40 223
Afghanistan,  38 928
Poland,  37 847
Canada,  37 742
Morocco,  36 911
Saudi Arabia,  34 814
Uzbekistan,  33 469
Peru,  32 972
Angola,  32 866
Malaysia,  32 366
Mozambique,  31 255
Ghana,  31 073
Yemen,  29 826
Nepal,  29 137
Venezuela (Bolivarian Republic of),  28 436
Madagascar,  27 691
Cameroon,  26 546
Côte d'Ivoire,  26 378
Dem. People's Republic of Korea,  25 779
Australia,  25 500
Niger,  24 207
"China, Taiwan Province of China",  23 817
Sri Lanka,  21 413
Burkina Faso,  20 903
Mali,  20 251
Romania,  19 238
Malawi,  19 130
Chile,  19 116
Kazakhstan,  18 777
Zambia,  18 384
Guatemala,  17 916
Ecuador,  17 643
Syrian Arab Republic,  17 501
Netherlands,  17 135
Senegal,  16 744
Cambodia,  16 719
Chad,  16 426
Somalia,  15 893
Zimbabwe,  14 863
Guinea,  13 133
Rwanda,  12 952
Benin,  12 123
Burundi,  11 891
Tunisia,  11 819
Bolivia (Plurinational State of),  11 673
Belgium,  11 590
Haiti,  11 403
Cuba,  11 327
South Sudan,  11 194
Dominican Republic,  10 848
Czechia,  10 709
Greece,  10 423
Jordan,  10 203
Portugal,  10 197
Azerbaijan,  10 139
Sweden,  10 099
Honduras,  9 905
United Arab Emirates,  9 890
Hungary,  9 660
Tajikistan,  9 538
Belarus,  9 449
Austria,  9 006
Papua New Guinea,  8 947
Serbia,  8 737
Israel,  8 656
Switzerland,  8 655
Togo,  8 279
Sierra Leone,  7 977
"China, Hong Kong SAR",  7 497
Lao People's Democratic Republic,  7 276
Paraguay,  7 133
Bulgaria,  6 948
Libya,  6 871
Lebanon,  6 825
Nicaragua,  6 625
Kyrgyzstan,  6 524
El Salvador,  6 486
Turkmenistan,  6 031
Singapore,  5 850
Denmark,  5 792
Finland,  5 541
Congo,  5 518
Slovakia,  5 460
Norway,  5 421
Oman,  5 107
State of Palestine,  5 101
Costa Rica,  5 094
Liberia,  5 058
Ireland,  4 938
Central African Republic,  4 830
New Zealand,  4 822
Mauritania,  4 650
Panama,  4 315
Kuwait,  4 271
Croatia,  4 105
Republic of Moldova,  4 034
Georgia,  3 989
Eritrea,  3 546
Uruguay,  3 474
Bosnia and Herzegovina,  3 281
Mongolia,  3 278
Armenia,  2 963
Jamaica,  2 961
Qatar,  2 881
Albania,  2 878
Puerto Rico,  2 861
Lithuania,  2 722
Namibia,  2 541
Gambia,  2 417
Botswana,  2 352
Gabon,  2 226
Lesotho,  2 142
North Macedonia,  2 083
Slovenia,  2 079
Guinea-Bissau,  1 968
Latvia,  1 886
Bahrain,  1 702
Equatorial Guinea,  1 403
Trinidad and Tobago,  1 399
Estonia,  1 327
Timor-Leste,  1 318
Mauritius,  1 272
Cyprus,  1 207
Eswatini,  1 160
Djibouti,   988
Fiji,   896
Réunion,   895
Comoros,   870
Guyana,   787
Bhutan,   772
Solomon Islands,   687
"China, Macao SAR",   649
Montenegro,   628
Luxembourg,   626
Western Sahara,   597
Suriname,   587
Cabo Verde,   556
Maldives,   541
Malta,   442
Brunei Darussalam,   437
Guadeloupe,   400
Belize,   398
Bahamas,   393
Martinique,   375
Iceland,   341
Vanuatu,   307
French Guiana,   299
Barbados,   287
New Caledonia,   285
French Polynesia,   281
Mayotte,   273
Sao Tome and Principe,   219
Samoa,   198
Saint Lucia,   184
Channel Islands,   174
Guam,   169
Curaçao,   164
Kiribati,   119
Micronesia (Fed. States of),   115
Grenada,   113
Saint Vincent and the Grenadines,   111
Aruba,   107
Tonga,   106
United States Virgin Islands,   104
Seychelles,   98
Antigua and Barbuda,   98
Isle of Man,   85
Andorra,   77
Dominica,   72
Cayman Islands,   66
Bermuda,   62
Marshall Islands,   59
Northern Mariana Islands,   58
Greenland,   57
American Samoa,   55
Saint Kitts and Nevis,   53
Faroe Islands,   49
Sint Maarten (Dutch part),   43
Monaco,   39
Turks and Caicos Islands,   39
Saint Martin (French part),   39
Liechtenstein,   38
San Marino,   34
Gibraltar,   34
British Virgin Islands,   30
"Bonaire, Sint Eustatius and Saba",   26
Palau,   18
Cook Islands,   18
Anguilla,   15
Tuvalu,   12
Wallis and Futuna Islands,   11
Nauru,   11
Saint Barthélemy,   10
Saint Helena,   6
Saint Pierre and Miquelon,   6
Montserrat,   5
Falkland Islands (Malvinas),   3
Niue,   2
Tokelau,   1
Holy See,   1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,